date,product_id,units_sold,sale_price,is_promo,lag_7,product_id_encoded
2023-01-08,PROD_001,41,57.58,1,8.0,0
2023-01-09,PROD_001,35,58.7,1,30.0,0
2023-01-10,PROD_001,34,60.61,0,32.0,0
2023-01-11,PROD_001,38,57.78,1,17.0,0
2023-01-12,PROD_001,27,54.11,1,13.0,0
2023-01-13,PROD_001,13,54.77,1,21.0,0
2023-01-14,PROD_001,68,54.28,1,9.0,0
2023-01-15,PROD_001,38,63.53,0,41.0,0
2023-01-16,PROD_001,13,61.08,0,35.0,0
2023-01-17,PROD_001,25,66.32,0,34.0,0
2023-01-18,PROD_001,18,64.96,0,38.0,0
2023-01-19,PROD_001,34,62.16,0,27.0,0
2023-01-20,PROD_001,31,61.66,0,13.0,0
2023-01-21,PROD_001,43,60.17,1,68.0,0
2023-01-22,PROD_001,22,62.94,0,38.0,0
2023-01-23,PROD_001,17,60.75,0,13.0,0
2023-01-24,PROD_001,28,60.78,0,25.0,0
2023-01-25,PROD_001,35,52.75,1,18.0,0
2023-01-26,PROD_001,14,56.01,1,34.0,0
2023-01-27,PROD_001,20,62.94,0,31.0,0
2023-01-28,PROD_001,26,62.19,0,43.0,0
2023-01-29,PROD_001,40,57.48,1,22.0,0
2023-01-30,PROD_001,12,63.22,0,17.0,0
2023-01-31,PROD_001,28,58.21,1,28.0,0
2023-02-01,PROD_001,19,59.81,0,35.0,0
2023-02-02,PROD_001,34,65.37,0,14.0,0
2023-02-03,PROD_001,49,49.14,1,20.0,0
2023-02-04,PROD_001,69,59.36,1,26.0,0
2023-02-05,PROD_001,43,61.12,0,40.0,0
2023-02-06,PROD_001,33,55.2,1,12.0,0
2023-02-07,PROD_001,49,55.05,1,28.0,0
2023-02-08,PROD_001,17,64.12,0,19.0,0
2023-02-09,PROD_001,32,59.48,1,34.0,0
2023-02-10,PROD_001,18,63.85,0,49.0,0
2023-02-11,PROD_001,17,62.46,0,69.0,0
2023-02-12,PROD_001,26,61.73,0,43.0,0
2023-02-13,PROD_001,19,65.67,0,33.0,0
2023-02-14,PROD_001,31,60.36,0,49.0,0
2023-02-15,PROD_001,36,58.62,1,17.0,0
2023-02-16,PROD_001,44,54.42,1,32.0,0
2023-02-17,PROD_001,25,63.98,0,18.0,0
2023-02-18,PROD_001,63,58.34,1,17.0,0
2023-02-19,PROD_001,37,60.32,0,26.0,0
2023-02-20,PROD_001,28,60.37,1,19.0,0
2023-02-21,PROD_001,20,62.03,0,31.0,0
2023-02-22,PROD_001,29,58.78,1,36.0,0
2023-02-23,PROD_001,27,60.59,0,44.0,0
2023-02-24,PROD_001,27,57.61,1,25.0,0
2023-02-25,PROD_001,66,54.98,1,63.0,0
2023-02-26,PROD_001,22,63.29,0,37.0,0
2023-02-27,PROD_001,25,60.63,0,28.0,0
2023-02-28,PROD_001,21,56.46,1,20.0,0
2023-03-01,PROD_001,16,62.32,0,29.0,0
2023-03-02,PROD_001,17,63.72,0,27.0,0
2023-03-03,PROD_001,11,60.91,0,27.0,0
2023-03-04,PROD_001,27,63.98,0,66.0,0
2023-03-05,PROD_001,46,63.64,0,22.0,0
2023-03-06,PROD_001,29,64.95,0,25.0,0
2023-03-07,PROD_001,17,61.28,0,21.0,0
2023-03-08,PROD_001,32,55.99,1,16.0,0
2023-03-09,PROD_001,25,65.15,0,17.0,0
2023-03-10,PROD_001,24,62.99,0,11.0,0
2023-03-11,PROD_001,15,57.42,1,27.0,0
2023-03-12,PROD_001,40,63.41,0,46.0,0
2023-03-13,PROD_001,19,63.09,0,29.0,0
2023-03-14,PROD_001,50,56.14,1,17.0,0
2023-03-15,PROD_001,14,60.3,0,32.0,0
2023-03-16,PROD_001,43,62.55,0,25.0,0
2023-03-17,PROD_001,17,59.32,0,24.0,0
2023-03-18,PROD_001,32,62.7,0,15.0,0
2023-03-19,PROD_001,31,59.53,0,40.0,0
2023-03-20,PROD_001,22,63.23,0,19.0,0
2023-03-21,PROD_001,24,50.98,1,50.0,0
2023-03-22,PROD_001,46,64.12,0,14.0,0
2023-03-23,PROD_001,16,58.1,1,43.0,0
2023-03-24,PROD_001,19,61.88,0,17.0,0
2023-03-25,PROD_001,29,59.61,0,32.0,0
2023-03-26,PROD_001,42,62.43,0,31.0,0
2023-03-27,PROD_001,20,60.37,0,22.0,0
2023-03-28,PROD_001,18,61.94,0,24.0,0
2023-03-29,PROD_001,21,59.27,0,46.0,0
2023-03-30,PROD_001,35,58.47,1,16.0,0
2023-03-31,PROD_001,12,62.13,0,19.0,0
2023-04-01,PROD_001,24,61.19,0,29.0,0
2023-04-02,PROD_001,61,62.76,0,42.0,0
2023-04-03,PROD_001,22,63.16,0,20.0,0
2023-04-04,PROD_001,23,55.71,1,18.0,0
2023-04-05,PROD_001,50,58.78,1,21.0,0
2023-04-06,PROD_001,36,54.82,1,35.0,0
2023-04-07,PROD_001,41,51.98,1,12.0,0
2023-04-08,PROD_001,27,60.2,0,24.0,0
2023-04-09,PROD_001,14,56.27,1,61.0,0
2023-04-10,PROD_001,33,63.71,0,22.0,0
2023-04-11,PROD_001,29,59.25,1,23.0,0
2023-04-12,PROD_001,35,59.25,1,50.0,0
2023-04-13,PROD_001,50,55.8,1,36.0,0
2023-04-14,PROD_001,55,61.84,1,41.0,0
2023-04-15,PROD_001,27,54.08,1,27.0,0
2023-04-16,PROD_001,12,62.44,0,14.0,0
2023-04-17,PROD_001,29,54.33,1,33.0,0
2023-04-18,PROD_001,32,64.08,0,29.0,0
2023-04-19,PROD_001,31,63.6,0,35.0,0
2023-04-20,PROD_001,42,58.98,1,50.0,0
2023-04-21,PROD_001,18,64.44,0,55.0,0
2023-04-22,PROD_001,55,61.93,0,27.0,0
2023-04-23,PROD_001,24,55.51,1,12.0,0
2023-04-24,PROD_001,33,61.49,0,29.0,0
2023-04-25,PROD_001,19,64.63,0,32.0,0
2023-04-26,PROD_001,31,60.91,1,31.0,0
2023-04-27,PROD_001,14,64.71,0,42.0,0
2023-04-28,PROD_001,17,62.65,0,18.0,0
2023-04-29,PROD_001,27,64.67,0,55.0,0
2023-04-30,PROD_001,41,61.02,0,24.0,0
2023-05-01,PROD_001,22,60.52,0,33.0,0
2023-05-02,PROD_001,13,65.71,0,19.0,0
2023-05-03,PROD_001,33,63.78,0,31.0,0
